,Heat demand 1,Electricity price,Grid input,Produced electricity,Max supply in temp,Temp ramp,Q ramp,E ramp,Delivered heat 1,Sec supply inlet temp 1,Min supply out temp 1,Underdelivered heat 1,Produced heat,Supply in temp 1,Supply out temp 1,Supply mass flow 1,Supply in pressure 1,Supply out pressure 1,Supply heat loss 1,Supply plugs 1,Supply max mass flow 1,Supply time delay 1,Supply in temps-time delay 1,Ret in temp 1,Ret out temp 1,Ret mass flow 1,Ret in pressure 1,Ret out pressure 1,Ret heat loss 1,Ret plugs 1,Ret max mass flow 1,Ret time delay 1,Ret in temps-time delay 1
0,24.18,36.56,90.88903017081022,20.0,0,0.0,0.0,0.0,24.18,70.0,0.0,-0.0,23.96,90.89,89.81,139.79,135644.94,100000.0,846.06,"[[1073932.93, 90.0, 90, -1, -1]]",0.0,[0],[90],48.44,49.91,139.79,0.0,-35644.94,423.03,"[[1073932.93, 50.0, 50, -1, -1]]",0.0,[0],[50]
1,24.88,34.94,86.69191083838145,20.0,0,1.1971193324287697,0.0,0.0,24.88,70.0,0.0,-0.0,22.33,86.69,89.62,144.79,138238.07,100000.0,849.41,"[[503247.81, 90.89, 90.89, 0, -1], [570685.11, 89.81, 90, -1, -2]]",0.0,[1],[90],48.53,49.81,144.79,0.0,-38238.07,414.79,"[[503247.81, 48.44, 48.44, 0, -2.0], [570685.11, 49.91, 50, -1, -2]]",0.0,[1],[50]
2,25.52,32.19,90.31297640443152,20.0,0,0.6210655660500777,0.0,0.0,25.52,70.0,0.0,0.0,25.48,90.31,90.41,145.41,138566.72,100000.0,832.36,"[[521231.8, 86.69, 86.69, 1, -1], [503247.81, 90.7, 90.89, 0, -2], [49453.31, 89.62, 90, -1, -3]]",0.0,[2],[90],48.43,48.4,145.41,0.0,-38566.72,407.21,"[[521231.8, 48.53, 48.53, 1, -3.0], [503247.81, 48.35, 48.44, 0, -3.0], [49453.31, 49.81, 50, -1, -3]]",0.0,[2],[50]
3,27.6,28.05,87.29364978018457,20.0,0,0.019326624246957635,0.0,0.0,27.6,70.0,0.0,0.0,28.5,87.29,86.99,174.98,155848.05,100000.0,829.91,"[[523466.96, 90.31, 90.31, 2, -1], [521231.8, 86.51, 86.69, 1, -2], [29234.16, 90.51, 90.89, 0, -3]]",0.0,"[3, 2]","[90, 90.89]",49.27,48.34,174.98,0.0,-55848.05,406.42,"[[523466.96, 48.43, 48.43, 2, -3.094472652364337], [521231.8, 48.44, 48.53, 1, -4.0], [29234.16, 48.26, 48.44, 0, -4.0]]",0.0,"[3, 2]","[50, 48.44]"
4,31.18,28.04,89.67280075474325,20.0,0,0.0,0.0,0.0,31.18,70.0,0.0,0.0,32.12,89.67,88.97,186.9,163719.73,100000.0,829.81,"[[629922.25, 87.29, 87.29, 3, -1], [444010.67, 90.12, 90.31, 2, -2]]",0.0,"[3, 2, 1]","[90.89, 86.69, 90.31]",49.08,48.57,186.9,0.0,-63719.73,411.26,"[[629922.25, 49.27, 49.27, 3, -2.920272497482517], [444010.67, 48.34, 48.43, 2, -4.094472652364336]]",0.0,"[3, 2, 1]","[48.44, 48.53, 48.43]"
5,40.91,34.26,87.63153371037926,20.0,0,0.0,0.0,0.0,40.91,70.0,0.0,-0.0,40.9,87.63,88.36,253.42,217142.73,100000.0,832.48,"[[672852.58, 89.67, 89.67, 4, -1], [401080.35, 87.11, 87.29, 3, -2]]",0.0,"[2, 1]","[90.31, 87.29]",49.75,49.03,253.42,0.0,-117142.73,413.67,"[[672852.58, 49.08, 49.08, 4, -2.6598929493883334], [401080.35, 49.18, 49.27, 3, -3.920272497482517]]",0.0,"[2, 1]","[48.43, 49.27]"
6,48.36,37.8,87.92913603236026,20.0,0,0.0,0.0,0.0,48.36,70.0,0.0,-0.0,49.5,87.93,87.73,308.59,273705.82,100000.0,823.96,"[[912306.16, 87.63, 87.63, 5, -1], [161626.76, 89.49, 89.67, 4, -2]]",0.0,"[2, 1]","[87.29, 89.67]",50.25,49.57,308.59,0.0,-173705.82,419.2,"[[912306.16, 49.75, 49.75, 5, -2.4396334941463267], [161626.76, 48.99, 49.08, 4, -3.6598929493883334]]",0.0,"[2, 1]","[49.27, 49.08]"
7,47.28,50.38,87.23710098060789,20.0,0,0.0,0.0,0.0,47.28,70.0,0.0,-0.0,46.69,87.24,87.74,301.2,265476.84,100000.0,824.16,"[[1073932.93, 87.93, 87.93, 6, -1]]",0.0,"[2, 1]","[89.67, 87.63]",50.2,50.16,301.2,0.0,-165476.84,425.73,"[[1073932.93, 50.25, 50.25, 6, -2.112176228071065]]",0.0,"[2, 1]","[49.08, 49.75]"
8,46.94,50.97,87.94895088547754,20.0,0,0.0,0.0,0.0,46.94,70.0,0.0,0.0,48.36,87.95,87.08,305.64,270390.72,100000.0,816.84,"[[1073932.93, 87.24, 87.24, 7, -1]]",0.0,[1],[87.93],50.35,50.11,305.64,0.0,-170390.72,425.13,"[[1073932.93, 50.2, 50.2, 7, -1.9904341491940762]]",0.0,[1],[50.25]
9,45.3,41.51,88.00225978576594,20.0,0,0.0,0.0,0.0,45.3,70.0,0.0,0.0,45.4,88.0,87.77,287.62,250895.4,100000.0,824.37,"[[1073932.93, 87.95, 87.95, 8, -1]]",0.0,[1],[87.24],50.1,50.25,287.62,0.0,-150895.4,426.69,"[[1073932.93, 50.35, 50.35, 8, -1.9760481495747042]]",0.0,[1],[50.2]
10,43.25,40.46,89.62996015059983,20.0,0,0.0,0.0,0.0,43.25,70.0,0.0,-0.0,45.31,89.63,87.81,273.47,236415.96,100000.0,824.84,"[[1035430.46, 88.0, 88.0, 9, -1], [38502.47, 87.77, 87.95, 8, -2]]",0.0,[1],[87.95],49.99,50.01,273.47,0.0,-136415.96,424.12,"[[1035430.46, 50.1, 50.1, 9, -2.0], [38502.47, 50.25, 50.35, 8, -2.976048149574704]]",0.0,[1],[50.35]
11,41.3,42.0,90.26987510931318,20.0,0,0.0,0.0,0.0,41.3,70.0,0.0,0.0,42.01,90.27,89.26,248.84,212945.38,100000.0,840.55,"[[984499.59, 89.63, 89.63, 10, -1], [89433.34, 87.82, 88.0, 9, -2]]",0.0,"[2, 1]","[87.95, 88.0]",49.57,49.89,248.84,0.0,-112945.38,422.9,"[[984499.59, 49.99, 49.99, 10, -2.0391086677749595], [89433.34, 50.0, 50.1, 9, -3.0]]",0.0,"[2, 1]","[50.35, 50.1]"
12,40.05,40.72,91.5162295286799,20.0,0,0.0,0.0,0.0,40.05,70.0,0.0,0.0,41.47,91.52,89.91,236.29,201844.22,100000.0,847.46,"[[895812.61, 90.27, 90.27, 11, -1], [178120.32, 89.44, 89.63, 10, -2]]",0.0,"[2, 1]","[88.0, 89.63]",49.37,49.54,236.29,0.0,-101844.22,419.03,"[[895812.61, 49.57, 49.57, 11, -2.099834874604692], [178120.32, 49.89, 49.99, 10, -3.0391086677749595]]",0.0,"[2, 1]","[50.1, 49.99]"
13,39.94,41.92,91.00977870458158,20.0,0,0.0,0.0,0.0,39.94,70.0,0.0,0.0,39.88,91.01,90.94,228.71,195416.27,100000.0,858.94,"[[850650.46, 91.52, 91.52, 12, -1], [223282.47, 90.08, 90.27, 11, -2]]",0.0,"[2, 1]","[89.63, 90.27]",49.17,49.31,228.71,0.0,-95416.27,416.61,"[[850650.46, 49.37, 49.37, 12, -2.20939307835226], [223282.47, 49.47, 49.57, 11, -3.099834874604692]]",0.0,"[2, 1]","[49.99, 49.57]"
14,40.07,42.0,91.84881752245686,20.0,0,0.0,0.0,0.0,40.07,70.0,0.0,0.0,41.03,91.85,90.91,229.62,196175.74,100000.0,857.52,"[[823368.33, 91.01, 91.01, 13, -1], [250564.6, 91.32, 91.52, 12, -2]]",0.0,"[2, 1]","[90.27, 91.52]",49.18,49.11,229.62,0.0,-96175.74,414.53,"[[823368.33, 49.17, 49.17, 13, -2.2711817513289763], [250564.6, 49.28, 49.37, 12, -3.20939307835226]]",0.0,"[2, 1]","[49.57, 49.37]"
15,40.58,43.1,91.63318759766742,20.0,0,0.0,0.0,0.0,40.58,70.0,0.0,0.0,40.92,91.63,91.35,229.86,196373.37,100000.0,863.11,"[[826638.66, 91.85, 91.85, 14, -1], [247294.27, 90.82, 91.01, 13, -2]]",0.0,"[2, 1]","[91.52, 91.01]",49.13,49.06,229.86,0.0,-96373.37,414.11,"[[826638.66, 49.18, 49.18, 14, -2.3031126031463263], [247294.27, 49.08, 49.17, 13, -3.2711817513289763]]",0.0,"[2, 1]","[49.37, 49.17]"
16,41.96,46.7,90.05268907712252,20.0,0,0.0,0.0,0.0,41.96,70.0,0.0,0.0,40.73,90.05,91.45,237.39,202791.34,100000.0,863.39,"[[827487.54, 91.63, 91.63, 15, -1], [246445.38, 91.66, 91.85, 14, -2]]",0.0,"[2, 1]","[91.01, 91.85]",49.17,49.02,237.39,0.0,-102791.34,413.7,"[[827487.54, 49.13, 49.13, 15, -2.2988495346727813], [246445.38, 49.09, 49.18, 14, -3.3031126031463263]]",0.0,"[2, 1]","[49.17, 49.18]"
17,43.17,56.78,89.84093596406129,20.0,0,0.0,0.0,0.0,43.17,70.0,0.0,0.0,43.24,89.84,90.2,253.51,217225.22,100000.0,849.62,"[[854596.69, 90.05, 90.05, 16, -1], [219336.23, 91.44, 91.63, 15, -2]]",0.0,"[2, 1]","[91.85, 91.63]",49.47,49.05,253.51,0.0,-117225.22,414.0,"[[854596.69, 49.17, 49.17, 16, -2.288376242376195], [219336.23, 49.03, 49.13, 15, -3.2988495346727813]]",0.0,"[2, 1]","[49.18, 49.13]"
