,0
0,19.73346
1,18.087345
2,16.101921
3,14.252302
4,14.020901
5,12.645652
6,14.312405
7,12.308977
8,7.972558
9,2.9539814
10,2.4417932
11,5.005046
12,11.264042
13,10.633211
14,12.442781
15,10.41503
16,9.384897
17,12.932753
18,18.42687
19,22.876009
20,23.951826
21,25.540117
22,25.677212
23,25.777695
24,26.177185
25,26.138916
26,27.424772
27,25.720016
28,23.72769
29,19.263062
30,15.600717
31,11.596293
32,7.9701576
33,5.4693837
34,3.8405163
35,5.2450986
36,6.729037
37,7.136158
38,7.7306066
39,7.688799
40,7.9768267
41,8.685691
42,14.036135
43,17.63207
44,23.750078
45,23.70491
46,24.390055
47,21.71054
48,18.43502
49,14.46892
50,13.789002
51,13.891838
52,12.575688
53,11.129382
54,11.226978
55,9.520324
56,6.7906957
57,5.0610075
58,4.8332496
59,6.5206566
60,7.635219
61,8.566976
62,7.148978
63,6.5702453
64,7.827167
65,12.089528
66,13.1708355
67,16.131767
68,18.09942
69,19.194498
70,16.622444
71,12.743994
72,8.70602
73,7.386328
74,11.852565
75,14.909309
76,18.437868
77,17.09382
78,15.23025
79,9.916661
80,6.2894206
81,6.711778
82,10.308386
83,13.331395
84,12.792433
85,11.841705
86,12.4123745
87,11.63461
88,14.560233
89,17.965576
90,23.938663
91,26.682838
92,31.693684
93,31.558855
94,31.533728
95,27.828665
96,23.847082
97,19.868032
98,19.676125
99,18.09337
100,17.59387
101,18.001194
102,17.384317
103,13.537781
104,12.379386
105,12.791482
106,13.222651
107,16.06804
108,13.922391
109,13.579884
110,11.736648
111,11.972585
112,16.43313
113,25.660131
114,25.356066
115,28.13464
116,33.91432
117,37.992805
118,38.94361
119,37.313354
120,33.54393
121,28.508202
122,26.683897
123,25.561264
124,24.834969
125,22.740461
126,24.134172
127,22.037872
128,18.466593
129,18.753391
130,15.593205
131,17.1934
132,14.861288
133,22.636671
134,15.701011
135,17.474184
136,18.083366
137,24.912394
138,22.30142
139,33.487545
140,35.605938
141,37.410763
142,35.764248
143,33.416286
144,29.056458
145,24.412413
146,22.915125
147,22.39769
148,19.240072
149,15.547853
150,16.015207
151,18.231762
152,17.974321
153,15.359961
154,20.455326
155,16.500233
156,15.5337715
157,14.465209
158,21.18661
159,14.71358
160,18.301102
161,21.037987
162,25.333784
163,26.39917
164,33.98931
165,38.651466
166,40.875366
167,41.25649
168,39.56755
169,36.22012
170,34.49715
171,32.987576
172,30.202747
173,25.46954
174,23.793
175,21.545464
176,18.753668
177,16.358212
178,17.489405
179,18.437916
180,18.78774
181,20.07717
182,22.90617
183,22.712332
184,22.490955
185,27.509289
186,31.177917
187,34.931183
188,35.564056
189,35.954834
190,33.808804
191,32.11822
192,32.943615
193,37.14816
194,40.16605
195,43.98437
196,44.704838
197,38.108395
198,33.4986
199,30.386097
200,28.056446
201,25.234116
202,21.505651
203,19.24997
204,17.764545
205,19.597227
206,16.49184
207,21.105469
208,21.026173
209,22.749691
210,24.152428
211,35.00256
212,36.786915
213,39.213596
214,39.01184
215,36.541294
216,33.715855
217,29.852062
218,30.054163
219,33.17262
220,33.67638
221,29.633554
222,26.955345
223,20.366331
224,15.147023
225,15.88459
226,17.346727
227,18.966434
228,16.467302
229,18.258997
230,17.30441
231,20.333548
232,20.46021
233,25.13411
234,27.26081
235,35.539352
236,38.197147
237,41.166748
238,42.068336
239,39.979233
240,37.13474
241,31.558954
242,29.458303
243,28.08409
244,26.180254
245,20.852827
246,20.492355
247,20.881838
248,22.178085
249,17.694971
250,23.571045
251,20.295553
252,20.505243
253,21.113607
254,24.867622
255,21.873535
256,25.546234
257,26.92536
258,30.397047
259,37.29687
260,41.589172
261,45.09024
262,45.672443
263,43.470356
264,40.465687
265,34.57081
266,33.530853
267,31.914774
268,29.165953
269,26.536766
270,25.995749
271,26.577751
272,22.0299
273,24.84051
274,25.644003
275,22.694338
276,21.930292
277,22.139082
278,20.900434
279,18.810818
280,22.154583
281,24.964052
282,30.174314
283,31.738909
284,36.212902
285,38.251633
286,36.805225
287,34.66924
288,30.432241
289,25.813253
290,25.009058
291,26.322279
292,27.315762
293,30.04587
294,29.991089
295,29.610971
296,28.882345
297,31.847599
298,30.64188
299,32.800728
300,35.67447
301,37.26267
302,32.193054
303,34.364098
304,40.830162
305,40.538845
306,40.245476
307,40.795258
308,41.73291
309,45.052864
310,51.539913
311,55.50226
312,54.596302
313,47.959618
314,47.010677
315,48.068245
316,49.654198
317,45.6409
318,42.21967
319,34.497353
320,31.47308
321,29.6329
322,29.424395
323,26.758694
324,26.282776
325,20.392601
326,24.045265
327,17.550241
328,20.757788
329,22.244726
330,27.013788
331,27.411148
332,33.076977
333,29.183762
334,33.613235
335,37.50244
336,36.879658
337,35.235558
338,31.936844
339,29.142431
340,29.237547
341,36.146294
342,38.4125
343,37.56236
344,33.426388
345,27.45966
346,23.244152
347,18.98871
348,20.65445
349,20.367683
350,20.01901
351,17.454443
352,21.101913
353,23.538881
354,25.326342
355,30.004189
356,38.17862
357,39.418053
358,38.227592
359,35.581818
360,32.22246
361,27.090427
362,26.428434
363,29.71333
364,34.12051
365,32.049263
366,27.742142
367,25.666882
368,19.377478
369,16.503315
370,19.9624
371,24.117205
372,19.985622
373,20.2288
374,20.142553
375,23.248055
376,24.661802
377,28.43189
378,30.532618
379,38.00369
380,41.558342
381,44.758297
382,45.667274
383,43.465954
384,39.77797
385,35.298622
386,36.32899
387,40.3311
388,43.946087
389,42.71624
390,40.03327
391,34.680683
392,29.416159
393,24.975578
394,24.578505
395,24.468237
396,22.915604
397,23.08404
398,20.128613
399,24.872873
400,26.527609
401,27.23104
402,29.617058
403,40.124443
404,42.172028
405,43.535095
406,42.275116
407,39.517246
408,35.194466
409,30.173983
410,31.458277
411,34.131954
412,37.04202
413,35.04289
414,30.884733
415,28.561016
416,23.265383
417,20.459066
418,23.470871
419,27.106277
420,22.88023
421,23.213146
422,24.424093
423,27.128172
424,27.71383
425,31.640368
426,34.811245
427,42.416367
428,46.381615
429,50.23222
430,51.16563
431,48.1524
432,43.900177
433,39.399715
434,38.72867
435,42.922882
436,46.58108
437,44.171013
438,39.98787
439,37.106594
440,31.48423
441,26.512205
442,28.641863
443,30.790472
444,28.192404
445,25.965176
446,26.204372
447,30.304274
448,28.318909
449,29.657045
450,34.31207
451,40.220646
452,44.324993
453,46.70103
454,46.222153
455,43.141575
456,39.559948
457,34.44122
458,32.59814
459,33.217052
460,33.992966
461,31.946993
462,27.734537
463,25.185196
464,23.554115
465,22.557758
466,23.364319
467,23.981823
468,23.552
469,21.410122
470,17.21944
471,18.837688
472,17.55497
473,18.76039
474,20.029253
475,23.425406
476,27.110456
477,31.486095
478,30.310814
479,27.088463
480,25.31909
481,21.106735
482,18.025566
483,16.56001
484,16.629745
485,16.235165
